file,line,type,commit,author,date,time,timezone,datetime,depth,length
index.html,1,html,adfedc0,Justin Lee,2025-09-30,21:49:18,-07:00,2025-09-30T21:49:18-07:00,0,13
index.html,2,html,adfedc0,Justin Lee,2025-09-30,21:49:18,-07:00,2025-09-30T21:49:18-07:00,0,14
index.html,3,html,adfedc0,Justin Lee,2025-09-30,21:49:18,-07:00,2025-09-30T21:49:18-07:00,0,0
index.html,4,html,adfedc0,Justin Lee,2025-09-30,21:49:18,-07:00,2025-09-30T21:49:18-07:00,0,4
index.html,5,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,2,39
index.html,6,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,2,37
index.html,7,html,adfedc0,Justin Lee,2025-09-30,21:49:18,-07:00,2025-09-30T21:49:18-07:00,2,20
index.html,8,html,adfedc0,Justin Lee,2025-09-30,21:49:18,-07:00,2025-09-30T21:49:18-07:00,2,68
index.html,9,html,adfedc0,Justin Lee,2025-09-30,21:49:18,-07:00,2025-09-30T21:49:18-07:00,2,52
index.html,10,html,15f77c18,Justin Lee,2025-10-10,22:00:44,-07:00,2025-10-10T22:00:44-07:00,2,55
index.html,11,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,0,0
index.html,12,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,2,45
index.html,13,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,2,43
index.html,14,html,adfedc0,Justin Lee,2025-09-30,21:49:18,-07:00,2025-09-30T21:49:18-07:00,0,5
index.html,15,html,adfedc0,Justin Lee,2025-09-30,21:49:18,-07:00,2025-09-30T21:49:18-07:00,0,0
index.html,16,html,adfedc0,Justin Lee,2025-09-30,21:49:18,-07:00,2025-09-30T21:49:18-07:00,0,4
index.html,17,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,2,24
index.html,18,html,0d3b6fad,Justin Lee,2025-10-10,22:30:31,-07:00,2025-10-10T22:30:31-07:00,4,17
index.html,19,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,4,39
index.html,20,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,4,104
index.html,21,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,6,1
index.html,22,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,6,90
index.html,23,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,6,12
index.html,24,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,6,30
index.html,25,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,0,0
index.html,26,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,4,21
index.html,27,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,6,53
index.html,28,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,6,51
index.html,29,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,6,51
index.html,30,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,6,41
index.html,31,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,4,4
index.html,32,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,0,0
index.html,33,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,4,22
index.html,34,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,6,106
index.html,35,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,8,13
index.html,36,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,4,4
index.html,37,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,0,0
index.html,38,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,4,33
index.html,39,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,6,22
index.html,40,html,df22d932,Justin Lee,2025-10-31,19:19:44,-07:00,2025-10-31T19:19:44-07:00,6,26
index.html,41,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,4,8
index.html,42,html,921bfaee,Justin Lee,2025-10-24,18:36:04,-07:00,2025-10-24T18:36:04-07:00,0,0
index.html,43,html,df22d932,Justin Lee,2025-10-31,19:19:44,-07:00,2025-10-31T19:19:44-07:00,4,28
index.html,44,html,df22d932,Justin Lee,2025-10-31,19:19:44,-07:00,2025-10-31T19:19:44-07:00,6,28
